N,length,width,fgap,ggap,taper,1_1,1_2,1_GND,2_1,2_2,2_GND,GND_1,GND_2,GND_GND
2,100.0,10.0,10.0,75.0,50.0,3.071495287167453e-17,6.037064027984137e-15,2.846253120214224e-14,6.037064027984137e-15,2.7218845704060613e-17,2.8698340419596203e-14,2.846253120214224e-14,2.8698340419596203e-14,2.437679524408022e-13
2,100.0,10.0,10.0,75.0,50.0,3.0714952871649296e-17,6.037064027984137e-15,2.846253120214227e-14,6.037064027984137e-15,2.7218845704060613e-17,2.8698340419596203e-14,2.846253120214227e-14,2.8698340419596203e-14,2.4376795244080174e-13
2,100.00000001,10.0,10.0,75.0,50.0,3.071495287167453e-17,6.037064027984137e-15,2.846253120214224e-14,6.037064027984137e-15,2.7218845704060613e-17,2.8698340419596203e-14,2.846253120214224e-14,2.8698340419596203e-14,2.4376795244080174e-13
2,100.0,10.0,10.0,75.0,50.0,3.0714952871649296e-17,6.037064027984137e-15,2.846253120214227e-14,6.037064027984137e-15,2.7218845704060613e-17,2.8698340419596203e-14,2.846253120214227e-14,2.8698340419596203e-14,2.4376795244080164e-13
2,100.00000001,10.0,10.0,75.0,50.0,3.0714952871649296e-17,6.037064027984137e-15,2.846253120214227e-14,6.037064027984137e-15,2.7218845704060613e-17,2.8698340419596203e-14,2.846253120214227e-14,2.8698340419596203e-14,2.4376795244080194e-13
2,100.0,10.00000001,10.0,75.0,50.0,3.071495287166191e-17,6.037064027984137e-15,2.846253120214226e-14,6.037064027984137e-15,2.7218845704060613e-17,2.8698340419596203e-14,2.846253120214226e-14,2.8698340419596203e-14,2.4376795244080194e-13
2,100.0,10.0,10.00000001,75.0,50.0,3.071495287167453e-17,6.037064027984137e-15,2.846253120214224e-14,6.037064027984137e-15,2.7218845704060613e-17,2.8698340419596203e-14,2.846253120214224e-14,2.8698340419596203e-14,2.4376795244080194e-13
2,100.0,10.0,10.0,75.00000001,50.0,3.071495287167453e-17,6.037064027984137e-15,2.846253120214224e-14,6.037064027984137e-15,2.7218845704060613e-17,2.8698340419596203e-14,2.846253120214224e-14,2.8698340419596203e-14,2.43767952440802e-13
2,100.0,10.0,10.0,75.0,50.00000001,3.071495287166191e-17,6.037064027984137e-15,2.846253120214226e-14,6.037064027984137e-15,2.7218845704060613e-17,2.8698340419596203e-14,2.846253120214226e-14,2.8698340419596203e-14,2.437679524408018e-13
3,100.0,10.0,10.0,75.0,50.0,4.202281145861577e-17,1.044782602576483e-14,3.497897787695204e-14,1.044782602576483e-14,2.8159458206096525e-17,2.817873270218722e-14,3.497897787695204e-14,2.817873270218722e-14,2.4283760078286055e-13
3,100.00000001,10.0,10.0,75.0,50.0,4.202281145861577e-17,1.044782602576483e-14,3.497897787695204e-14,1.044782602576483e-14,2.8159458206096525e-17,2.817873270218722e-14,3.497897787695204e-14,2.817873270218722e-14,2.4283760078286055e-13
